Дата_и_Время,Цена_ЭЭ,sin_час,cos_час,День,Цена_EUR,Цена_USD,Цена_газ,Цена_нефть
2024-05-07 20:00:00,1995.57,-0.8660254037844386,0.5000000000000001,7,98.3146875,91.1806818181818,2.216,83.09
2024-05-07 21:00:00,1823.83,-0.7071067811865477,0.7071067811865474,7,98.3146875,91.1806818181818,2.212,82.98
2024-05-07 22:00:00,1632.36,-0.5000000000000004,0.8660254037844384,7,98.3146875,91.1806818181818,2.212,83.25695652173913
2024-05-07 23:00:00,1495.44,-0.2588190451025215,0.965925826289068,7,98.3146875,91.1806818181818,2.212,82.98
2024-05-08 00:00:00,1436.14,0.0,1.0,8,98.6096875,91.50068181818182,2.212,82.97
2024-05-08 01:00:00,1273.35,0.2588190451025207,0.9659258262890684,8,98.6096875,91.50068181818182,2.214,82.78
2024-05-08 02:00:00,1163.49,0.4999999999999999,0.8660254037844387,8,98.6096875,91.50068181818182,2.224,82.8
2024-05-08 03:00:00,1153.54,0.7071067811865476,0.7071067811865476,8,98.6096875,91.50068181818182,2.21,82.83
2024-05-08 04:00:00,1198.57,0.8660254037844386,0.5000000000000001,8,98.6096875,91.50068181818182,2.215,82.71
2024-05-08 05:00:00,1289.38,0.9659258262890684,0.2588190451025207,8,98.6096875,91.50068181818182,2.239,82.67
2024-05-08 06:00:00,1294.71,1.0,6.123233995736766e-17,8,98.6096875,91.50068181818182,2.248,82.42
2024-05-08 07:00:00,1527.33,0.9659258262890684,-0.2588190451025206,8,98.3,91.1575,2.259,82.14
2024-05-08 08:00:00,1823.21,0.8660254037844387,-0.4999999999999998,8,98.3325,91.2175,2.248,82.08
2024-05-08 09:00:00,1994.73,0.7071067811865476,-0.7071067811865475,8,98.515,91.3375,2.197,82.18
2024-05-08 10:00:00,2036.63,0.4999999999999999,-0.8660254037844387,8,98.72,91.4925,2.219,82.46
2024-05-08 11:00:00,2056.41,0.258819045102521,-0.9659258262890682,8,98.6025,91.45,2.215,82.21
2024-05-08 12:00:00,1979.72,1.2246467991473532e-16,-1.0,8,98.6275,91.4825,2.173,82.32
2024-05-08 13:00:00,1977.77,-0.2588190451025208,-0.9659258262890684,8,98.92,91.83,2.184,82.66
2024-05-08 14:00:00,1847.73,-0.4999999999999997,-0.8660254037844388,8,98.86,91.715,2.182,83.23
2024-05-08 15:00:00,1838.68,-0.7071067811865471,-0.7071067811865479,8,98.6096875,91.725,2.18,83.71
2024-05-08 16:00:00,1775.12,-0.8660254037844385,-0.5000000000000004,8,98.6096875,91.6075,2.182,83.43
2024-05-08 17:00:00,1802.9,-0.9659258262890684,-0.2588190451025206,8,98.6096875,91.4925,2.203434782608696,83.45
2024-05-08 18:00:00,1785.76,-1.0,-1.8369701987210287e-16,8,98.6096875,91.50068181818182,2.174,83.66
2024-05-08 19:00:00,1816.83,-0.9659258262890684,0.2588190451025203,8,98.6096875,91.50068181818182,2.181,83.75
